search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Eclectic Excursions songs,Eclectic Music Playlist,https://www.youtube.com/watch?v=JGwWNGJdvx8&list=PLofje4HzX7aQCfpkN9jV0LBwKLwLszB-p,Eclectic Excursions: diversity : sameness,1
1,Eclectic Excursions songs,Folk Music Around The World,https://www.youtube.com/watch?v=gMYGqhvRaXE&list=PLx6QZyNaHQCxh4qw6r4hy68tGll9Oys9f,Eclectic Excursions: diversity : sameness,2
1,Eclectic Excursions songs,Latest eclectic mix featuring great music and images,https://www.youtube.com/watch?v=QGndq_5XewA&list=PLHfaEwZRuPkkYyA5_422ceoPtwVU9vW_z,Eclectic Excursions: diversity : sameness,3
1,Eclectic Excursions songs,Eclectic songs,https://www.youtube.com/watch?v=AepyGm9Me6w&list=PL614CAB69EEAA5FDC,Eclectic Excursions: diversity : sameness,4
1,Eclectic Excursions songs,Background Music For Real Estate Videos (No Copyright),https://www.youtube.com/watch?v=gnsn7QW2aKc&list=PLLELmi94d_Vnj7IP122oWE82p7BFh8ypO,Eclectic Excursions: diversity : sameness,5
1,Eclectic Excursions songs,ECLECTIC HIT SONGS,https://www.youtube.com/watch?v=gq0DzSA_qaA&list=PLT53a1wSeVjd6IXK94ZF5LMQkz5T0DGAs,Eclectic Excursions: diversity : sameness,6
1,Eclectic Excursions songs,Favorite Eclectic Songs By Karen,https://www.youtube.com/watch?v=52nfjRzIaj8&list=PLcxn4PSNw8sQySVUjJ3XCMbwhwB6RcGPk,Eclectic Excursions: diversity : sameness,7
1,Eclectic Excursions songs,🔥Burning Man Vibes - Eclectic Electronic Music,https://www.youtube.com/watch?v=qk6QvwvwgNk&list=PLOOWpWlDjFr_0g3IMLdkWYEYjd7hbe_NT,Eclectic Excursions: diversity : sameness,8
1,Eclectic Excursions songs,Eclectic Music Full List,https://www.youtube.com/watch?v=wu1UXCdyNo0&list=PLIEAT9a48rq13sN6JVED6szbrCd0ulzFf,Eclectic Excursions: diversity : sameness,9
1,Eclectic Excursions songs,Awesome eclectic song mix!,https://www.youtube.com/watch?v=NcVqAHw23aE&list=PLC8A3CF913E1B31DA,Eclectic Excursions: diversity : sameness,10
