search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Psychedelic Symphony songs,Classical Music for Psychedelic States,https://www.youtube.com/watch?v=o_xAkeO9WOo&list=PLgodtan1SIuiHQZc-Unud9ymBhA_73nno,Psychedelic Symphony: exploration : conventionality,1
1,Psychedelic Symphony songs,chill psychedelic music,https://www.youtube.com/watch?v=KxSd-l-urj8&list=PLbpi1rNmLvkn5EqX7tVAmccPGZVguNTz_,Psychedelic Symphony: exploration : conventionality,2
1,Psychedelic Symphony songs,Music for Psychedelic Therapy,https://www.youtube.com/watch?v=YhRybYyrNaI&list=PLWt_gYfbC9Vbbt8AsJtlgsjV0H9Vmhrbk,Psychedelic Symphony: exploration : conventionality,3
1,Psychedelic Symphony songs,Space Jazz [Laid-Back Psychedelic Jazz-Funk],https://www.youtube.com/watch?v=cIwDLN2X6Rs&list=PLx2JqCFFPrNriJrtUQSGpG7_JOojyot_r,Psychedelic Symphony: exploration : conventionality,4
1,Psychedelic Symphony songs,Psilocybin Journeys (John Hopkins Study/ Bill Richards protocol complete playlist),https://www.youtube.com/watch?v=OgmlGMRUaxI&list=PLTJxCiiQKJlucPdnbKt1mhhFu_I5WBlai,Psychedelic Symphony: exploration : conventionality,5
1,Psychedelic Symphony songs,Psychedelic Orchestra,https://www.youtube.com/watch?v=SKvPSOeAiV0&list=PLLh_d2qLzqhDL5RLDxMrMRX9Vuud3criS,Psychedelic Symphony: exploration : conventionality,6
1,Psychedelic Symphony songs,Psychedelic Rock Modern,https://www.youtube.com/watch?v=dzy5ljvR08Q&list=PLtazNXjCT3dkRFTjoQGf6iMbyqPQoo941,Psychedelic Symphony: exploration : conventionality,7
1,Psychedelic Symphony songs,Surreal & psychedelic music videos,https://www.youtube.com/watch?v=4KdbzF-v3fA&list=PLBXO-yEpu7qegTVJ55s9Kj7dfmT8ldjIF,Psychedelic Symphony: exploration : conventionality,8
1,Psychedelic Symphony songs,Terence McKenna & Alan Watts In Psychedelic Music,https://www.youtube.com/watch?v=y8mg1c2zxwk&list=PLobEMHfBbtTYNjw5TrXdAqOURfwXjcW84,Psychedelic Symphony: exploration : conventionality,9
1,Psychedelic Symphony songs,Modern Psychedelia,https://www.youtube.com/watch?v=BqnG_Ei35JE&list=PLYsb73Lon7s7KmVsuiQlE9EcSXsK86Oaj,Psychedelic Symphony: exploration : conventionality,10
1,Psychedelic Symphony songs,Space-themed Classical Music,https://www.youtube.com/watch?v=-RBnEhUtkCA&list=PLBxrfnqejW96B4VAbhKZT1b5z1hk4p4VL,Psychedelic Symphony: exploration : conventionality,11
1,Psychedelic Symphony songs,Modern Psychedelic Pop,https://www.youtube.com/watch?v=KN8nJFLu1Rk&list=PLwG00xEEyR9Fe4xwlQfuFVVBuBYeIe6wa,Psychedelic Symphony: exploration : conventionality,12
1,Psychedelic Symphony songs,A Psychedelic Symphony,https://www.youtube.com/watch?v=F4xTLkoYae0&list=PLrTkISd4jshNBpui-fzaJQH1VCvKBNmoV,Psychedelic Symphony: exploration : conventionality,13
1,Psychedelic Symphony songs,ORCHESTRA GOLD ∴ Psychedelic African Rock,https://www.youtube.com/watch?v=tZbdIOCXlcE&list=PLXz1IJq50MvXtBQkddqhWTDSad3TN8Oj1,Psychedelic Symphony: exploration : conventionality,14
1,Psychedelic Symphony songs,70s Obscure Folk / Progressive Folk / Psychedelic Folk,https://www.youtube.com/watch?v=DYVKGpl_rFI&list=PLqGHu9fu2Nr9xbjrk97Lc6YCKOGfjeKKs,Psychedelic Symphony: exploration : conventionality,15
2,Spiritual Solace songs,Songs of Spiritual Solace,https://www.youtube.com/watch?v=CeRHyY2I-PU&list=PLzEih03nOwTE6zRlV1TXhGC_HHo6NgKUO,Spiritual Solace: connection : isolation,1
